netzabschnitts_id,velocity_15,velocity_50,velocity_65,velocity_75,velocity_85,avg_velocity
116,82.92925429470702,85.6091176401365,86.3130300806498,86.84274171346088,87.56939713007372,84.4957712560912
164,83.31862040403696,85.36612212684157,86.06793167465382,86.58613208100022,87.31164308027164,85.41870251894127
20,79.2728600501589,86.5688026440881,87.55015735442463,88.31723174395471,89.71455798698479,84.79383343166376
146,81.75604818408125,84.56667108685699,85.34859124799944,85.93433358889263,86.73321013992367,83.58670305272501
262,76.02662210827017,81.17105698098355,82.58138757331285,83.62850938618767,84.95012422315202,79.70353207611403
460,78.76328215372361,85.03796704891795,85.80392559645597,86.32018901081314,86.95941915346405,83.25799535739552
685,82.03986662139033,85.46883169202877,86.26648011262371,86.82458708889669,87.53038274142524,84.91158526346115
712,81.14272568688486,85.47938854096519,86.4869270822437,87.16754494870173,88.06724417552316,84.73788513576878
724,81.93420790713601,85.24128434965905,86.18125041844485,86.86960019870918,87.79501054242387,84.74283816199785
3,84.8833027771594,88.90364909953854,91.39417841181752,93.8526674722838,97.00603258383259,90.47296301497138
38,76.06135055669618,83.12387222064858,84.9312099181921,86.07471086022281,87.52337769162699,82.30952831978716
402,82.080170076095,89.10467746567579,92.17155453009781,94.58729560035263,97.59948628240095,89.53824212646413
36,84.29219036401042,86.53836731527403,87.31035825959817,87.97494292625325,89.15106821327763,86.96375036728601
152,77.49769173035193,83.77599017654693,84.92453735397027,85.71166817516429,86.71635018267223,82.48715046178448
316,79.69381872085022,86.26307488202819,87.21273806122758,87.8793489923732,88.8622548641359,83.84659622356223
447,82.0999469969091,85.30783843077295,86.13222287995295,86.74200284112653,87.60137428191649,84.87161600269036
737,83.3149923658052,85.72875469560553,86.4961916360219,87.0695253899777,87.87408043659978,85.72324930329407
304,78.65859961698176,86.0044095161385,87.27214854955827,88.24210303393043,90.03862322048708,84.60442337051339
622,84.46163134310673,86.50508761459255,87.24810220935584,87.90608390296579,89.07047002959713,86.78924608174921
708,81.55269266021554,85.14348013636102,86.15541091307718,86.8589547247542,87.74898217994017,84.69024506249542
461,81.63834936781669,84.35869328299874,85.09103237701781,85.61538764900355,86.28346302610548,83.44430758295931
648,78.97443561934305,84.39230562895104,85.54446427721625,86.36902278351064,87.34917751127777,83.37286518895417
6,79.60514555252199,85.09168411779534,86.43284248464218,87.27216127522098,88.30084652576932,84.37544070695448
740,84.18414634262903,85.88013658747957,86.5220357894843,87.02241583555268,87.69883772025076,86.00396556309563
293,79.45275014001147,84.13172701422177,85.52581540856772,86.6927136366837,88.38665024780799,83.1010730150279
294,82.26925836534701,84.78164273560907,86.0650745319652,87.66175746660147,90.92131373492742,86.2885722917214
651,83.02263897711616,85.36213133267242,86.14162927442788,86.70675591713378,87.40887931278981,85.18730885469327
186,83.1280565844421,85.76253203870927,86.60994505812354,87.26942668637601,88.25746016898141,85.81367355424646
185,83.65087417450042,85.92128385631098,86.77586204633293,87.49841835580375,88.96200162006258,86.1426063386313
608,81.8957585117417,84.94392049959988,85.82632808613693,86.48619396452662,87.37444821609651,84.09871434545784
629,78.0254995550489,85.46256956920972,86.71138768442322,87.4998415184872,88.45851972929057,83.27552695707331
105,71.06723534738039,83.52287227382604,85.09174200282217,85.84931963025356,86.62110967137716,78.02965500519397
178,82.82637264034831,86.38550864606968,87.55885740781495,88.48420199736722,90.19097236369909,87.36306327531926
436,79.29038236955033,84.23731783467257,85.6882304301212,86.67308898259871,87.9250758522044,84.01369264002581
68,79.48499329087824,85.97202656863892,86.92311836933004,87.60578823265922,88.67494199171355,84.06220218145232
691,57.931608703095094,65.44122686315723,68.10125186700934,70.0406209503307,72.2617149716136,64.5866136646573
