netzabschnitt,laenge_netzabschnitt_km
1,62.13213501080388
2,56.393767659426516
3,18.05524117792614
4,18.78859112534067
5,17.840293404057142
6,19.82731369940369
7,19.8416601233256
8,89.31163459551267
9,77.0557443563682
10,89.9914260131764
11,65.55594561751336
12,65.04624458731344
13,21.548195406147023
14,21.66090021155896
15,68.37024400169372
16,68.67212153800712
17,46.476621788423664
18,46.91556576191605
19,187.71503623094887
20,197.27500100285678
21,26.720664726758567
22,27.40374827194412
23,77.3803627417387
24,77.32506148617273
25,104.23622694930164
26,104.51831094349039
27,42.43059148775118
28,40.792042661178705
29,89.99934577325978
30,90.11192527752141
31,55.854644550295866
32,55.70617768743668
33,34.36052835393126
34,34.90058100347732
35,69.20602487802576
36,69.2953935459082
37,61.19667887961132
38,59.91491226347595
39,44.05187382667226
40,43.04486051203108
41,34.57304561144837
43,22.05535319515381
44,21.29515983720754
45,24.119082719770056
46,22.232455252682463
47,23.007908703043334
48,8.5357478999456
49,9.104686979904255
50,13.739359650677901
51,13.949974640064617
52,6.92524356827568
53,6.653025773694813
54,37.03220359589228
55,38.08191086733823
56,11.903582563297144
57,11.755764337726726
58,35.8577749911454
59,36.04862716703375
60,56.15536259128563
61,56.15051044287
62,59.09592043974633
63,58.38053105435768
64,51.02862402664464
65,50.34569385757431
66,20.197013496656442
67,20.854539312469317
68,27.26861037570575
69,27.164786298466293
70,15.573696912178121
71,16.401803600593336
72,0.4511930633546057
73,0.766641881658333
75,72.85849475825975
76,7.287082773075978
77,7.945471611556155
78,7.98440512654045
79,73.42522081601642
80,9.322599282728488
81,9.213143432821791
82,69.20516275731926
83,68.99066708600543
84,52.49554608338487
85,52.84913132635556
86,63.41342212000822
87,63.36368547832794
88,33.386987907613026
89,33.49440430077686
90,57.301083704661565
91,55.04127453723794
92,29.08382816789868
93,27.899167185800742
94,4.449356093418761
95,3.8003827159416637
96,75.7888236183881
97,76.31857959353592
98,5.582513539717184
99,5.383768126272493
100,90.4990555678984
101,90.6900728183592
102,29.881590457327317
103,29.477674460027824
104,17.210476653800658
105,16.946423302927553
106,35.846790759360005
107,36.53296803981386
108,29.854762562691715
109,29.79336858191874
110,66.75552305231933
111,66.52528932381495
112,43.12232879113667
113,42.566789160295876
114,15.842255505325218
115,16.23239480696734
116,75.5191694763113
117,76.63906247482426
118,2.0407502754249505
119,2.0008387448807
120,3.4008989508012535
121,3.6069940863687036
122,15.590093455149319
123,16.43857938553053
124,45.247520541767784
125,45.19538571007858
126,9.511546764244379
127,9.6154477578077
128,52.61288180377145
129,53.07581081531251
130,5.213371332300487
131,4.852767012659475
132,52.11758672513014
133,53.486084544480896
134,14.550066079085017
135,14.911084234391774
136,56.36627217125515
137,56.57923230560099
138,88.0213427744385
139,88.18206025177963
140,3.0511130670532816
141,2.899569900300595
142,88.84439533945825
143,88.59088382516309
144,61.93468075809284
145,62.799409436170414
146,5.8493419788493926
147,5.734907310618998
148,46.160625421252455
149,46.04154067993595
150,38.30989684069578
151,37.37701896059266
152,17.964117022379828
153,16.594481915948144
154,11.945511055234036
155,12.153421886519846
156,2.5381316916501064
157,2.800300789034255
158,12.651254018671137
159,13.065780019132264
160,11.312662869683964
161,10.806135245762091
162,20.451267015072208
163,21.11704034156449
164,34.56636168837203
165,34.80379606031541
166,9.33977407489588
167,9.532045326264345
168,10.538302103115745
169,11.333602648598452
170,25.475756564322765
171,25.90707714722748
172,18.23786050129743
173,18.670069234367705
174,16.309581651558297
175,16.10090936684408
176,20.8615962535006
177,20.684138291613902
178,21.142935387480716
179,20.19847205734918
180,10.921792399644858
181,11.402393973547767
182,24.353445145380768
183,24.392941656446386
184,2.393699227632735
185,2.5593053975145215
186,7.029877257683228
187,6.702620152351213
188,30.91498629169366
189,30.910741442944442
190,9.019366271694269
191,9.00976713076697
192,10.070851830443841
193,9.932767605574215
194,37.465961861073836
195,37.083969833426
196,20.523961742707773
197,21.23203108684018
198,13.638640450094904
199,14.721838048283777
200,4.725092490998242
201,4.413848970284356
202,5.146708310610142
203,4.9059769999654135
204,18.767873633437365
205,18.118755416197267
206,7.713132415757789
207,7.413775461845076
208,11.268340624614627
209,10.998758221751899
210,8.716629428010327
211,8.873178718806077
212,6.322252162302629
213,6.171435125993075
214,11.166718047106368
215,11.180820130034048
216,27.244941554158896
217,27.84684206532427
218,15.391358341396518
219,15.555600513089823
220,22.139158358771304
221,22.375027712565778
222,37.33984608183462
223,38.177047331575594
224,21.00735434960629
225,20.890399916657717
226,19.454978997302558
227,18.533852335388147
228,19.98692714185562
229,20.335232253111286
230,13.456502135877379
231,12.830049130841777
232,4.742260438524298
233,4.155458063315645
234,33.427619277035156
235,33.50262743473435
236,68.36094611894305
237,69.50419290812712
238,13.50053201759835
239,14.086579384872824
240,10.410822317485799
241,9.641975848070539
242,74.64002158557426
243,75.99187582125221
244,55.52963222275327
245,55.39139984738899
246,59.00180277701948
247,59.619042613803195
248,5.546959374868543
249,5.484455742181404
250,11.441447090329968
251,12.833073123844265
252,2.3870501927923673
253,2.4329984408239524
254,3.132988536658135
255,4.024715556404713
256,45.17163853435124
257,47.72549022284748
258,4.988954835824203
259,5.021622596402519
260,12.058281792909318
261,12.138821084177833
262,1.9644601219836395
263,2.051203403428959
264,3.471005861237055
265,3.4091485450064862
266,11.293922729256849
267,11.74878381474086
268,10.33976854425188
269,10.340037695648569
270,5.7823007396658035
271,5.633112438454832
272,5.390047330113328
273,4.9347839182477395
274,5.047312246495385
275,5.249467470901395
276,8.291539946634039
277,7.295588406486122
278,3.9134469900829654
279,4.279885619379294
282,19.54725837971339
283,26.677522865315236
284,3.33536460842705
285,3.2372146806515083
286,8.842787563102465
287,8.959130586094767
288,5.817531949403098
289,5.437661777354083
290,5.9422013854471505
291,6.411357925136684
293,2.7892348955812407
294,6.634384772229242
295,6.637905213091375
296,15.444918495580378
297,15.044421262443462
298,10.583545458008459
299,10.674699987292374
300,64.96505271458867
301,64.15049583457474
302,23.843327642170895
303,23.82855383879905
304,55.92194213953016
305,13.376644063058459
306,81.84567911606716
307,81.98325473533257
308,129.66169487139956
309,129.09744523671796
310,10.164374781699092
311,9.270598480997181
312,8.760117302650755
313,8.344917982838343
314,4.836563854433022
315,5.405137218579846
316,11.190809319618095
317,11.41642211805873
318,6.8455013214752425
319,6.2140231764636695
320,3.661023839448937
321,3.503571337480139
400,6.430736630490034
401,6.093362495152385
402,7.786158366144297
403,7.691681066925261
404,14.755744053459548
405,14.956536003623684
406,13.81067969951782
407,13.49000776507525
408,7.825936389499822
409,6.8554070108804455
411,4.057062879223048
412,10.298771768230816
413,3.3929499440212516
414,10.78025011070899
415,11.421195872217101
416,4.142339696361617
417,3.8624826273840798
418,4.671834792348142
419,5.226872780651014
420,4.7178893827017125
421,4.9323253469048
422,12.32011267212573
423,12.042741792865721
424,16.717735325100588
425,17.10434424949099
426,5.317691804561578
427,5.4463058514144365
428,5.327826180797825
429,4.407621046369182
430,13.272811607123995
431,13.73808650332439
432,16.328907776782803
433,16.131124667122943
434,22.05591968546983
435,21.792106487882894
436,48.79928096147383
437,49.021709842936524
438,28.623796517197164
439,28.61403173150952
440,9.921939927125113
441,9.6441738990754
442,46.587822479027196
443,46.35733766572099
444,40.91116653719683
445,44.799301693722
446,33.86255980542967
447,34.042429432550335
448,70.67324427897361
449,70.57580866871287
450,14.779875547184819
451,14.829319312443118
452,3.0021485572581725
453,2.627726484084271
454,55.32879232634275
455,55.5815227332254
456,41.659413244506524
457,42.28123811190236
458,5.421342771998972
459,4.935269518341255
460,64.31080617203794
461,64.28752324180581
462,34.892889620874264
463,35.15100950318094
464,87.75318118276732
465,87.86303254883711
466,72.13268409347494
467,71.39507297393293
468,11.88721166276853
469,11.66444307771903
470,9.802478618391566
471,9.559423209270244
472,3.213966280733914
473,3.3127206585791065
474,16.353101460970933
475,17.48929339841908
476,3.328643705940695
477,2.730991574279175
478,10.61663516709625
479,10.834785296811605
480,30.798666595120064
481,30.784387806412226
482,29.71688803383513
483,29.044566031327584
484,22.183486802499257
485,22.048234705500725
486,34.90943924361477
487,35.03718923402283
488,16.27683139185349
489,16.32973852857823
490,10.51669290753342
491,10.982369152904408
492,9.083548711793794
493,8.993218577501722
494,22.515089600274425
495,21.057728941628625
496,4.653015585174421
497,4.735130056729366
498,18.93507689714443
499,19.139809856674617
500,26.615710678045
501,27.619013754225318
502,21.793379695463162
503,21.872718382878887
504,46.908452308277965
505,47.66534984167743
506,18.205820605798134
507,18.29397785716255
508,38.78608074216149
509,38.23585187484896
510,43.55316639396996
511,43.3445350005778
512,63.59154297472899
513,64.32575799565495
514,21.201728116686187
515,20.398477933725932
516,22.444074731954178
517,23.58924270108247
518,28.94507695798105
519,29.142013981761266
520,10.575598871819034
521,10.589869006119992
522,49.072676392317454
523,49.645246988693046
524,21.806752233087025
525,22.083934465087964
526,15.285423507326914
527,14.302099284854219
528,20.062781615986722
529,19.11092726931711
530,6.3531242353469555
531,6.043862726775607
532,32.95606226347832
533,33.11463315292649
534,172.63720616479884
535,172.39216771444305
536,18.540319113856125
537,17.950269639807427
538,48.45023592070757
539,49.71305218928641
540,6.358670068479143
541,6.883291374325221
542,131.0336862840715
543,130.57958771635413
544,12.413913469349408
545,12.534594662788521
546,85.1204857601341
547,85.78836775530367
548,50.44951809641344
549,49.45543651562908
550,60.34458446076238
551,60.0292482631118
552,66.1761257796987
553,66.60226058380651
554,4.235908618464496
555,3.7260887147929416
556,97.47959205252599
557,98.02399673481119
558,2.120359820190601
559,2.4308183339596283
560,3.5970488197716164
561,3.3759634213848893
562,98.8921436112445
563,99.21032108796302
564,3.9582769653801813
565,4.123363130843127
566,63.37695323108753
567,62.44454896990312
568,110.3388059064889
569,110.85969504265104
570,1.3286000045677464
571,1.569962789635059
572,28.409105895053653
573,28.79941000610454
574,61.785024756322684
575,62.16663599643605
576,96.31304007685827
577,96.11990060195434
578,56.29074868653227
579,55.83916798714166
580,31.912307765912004
581,31.675905326232815
582,75.87828422251089
583,76.05063893274948
584,70.80063082257968
585,70.72573964519124
586,6.243506303838509
587,6.15644191632752
588,5.498962424932419
589,5.998464131636056
590,6.1827440369983835
591,6.254591697212549
592,71.90985561093729
593,73.12429097782433
594,91.11063932644775
595,90.95203731435512
596,69.25393711118275
597,69.32404009451406
598,45.39953728782349
599,44.99359035301369
600,50.400964903444866
601,49.703599398984295
602,31.57474583540108
603,32.070445954128324
604,12.608444624087099
605,12.697056181363315
606,7.011960203586793
607,7.0887606614609435
608,13.107322323862656
609,13.025252168502995
610,3.422541724490228
611,4.181615986243269
612,34.23039219945111
613,33.87390335717976
614,22.045905914281217
615,21.94353447645278
616,12.679634979983705
617,12.676366874054857
618,14.473713373407069
619,14.831987295854649
620,4.735753710838863
621,4.0737029190412875
622,19.26083569950717
623,18.418611466329384
624,6.095025627601347
625,6.482261701533648
626,28.305090835061037
627,27.58880591997891
628,67.47763955628903
629,67.47249858039446
630,79.2443112738384
631,79.92095060296978
632,68.83886725245051
633,69.13832171832196
634,19.450493307432666
635,19.248145005987016
636,106.59386130755658
637,106.89296810566069
638,110.43606416075637
639,110.49568244743172
640,4.088340586833949
641,3.9620524367353034
642,4.405224574350064
643,4.577522944952821
644,10.75157259749405
645,11.05465039296344
646,39.137130115959664
647,41.13526918351129
648,51.57597009383247
649,52.015026238439496
650,54.88847628296987
651,55.673721468146724
652,90.63791477392692
653,91.20295431405955
654,93.3203183703786
655,93.32741351251401
656,73.30746824964486
657,73.75061056679469
658,44.10853036641363
659,43.59728667992274
660,19.164074438547516
661,19.583782849017354
662,44.91106086810729
663,45.04057547409421
664,7.875665582945774
665,7.577113080203443
666,9.432009421349171
667,9.222445210468852
668,7.104698450270948
669,7.235891684122003
670,13.43391716708269
671,13.706671839175517
672,2.500544616430265
673,1.4828066096079722
674,0.7351283349756325
675,0.6871788392334626
676,13.46737650578896
677,13.110256670921292
678,14.023848058189387
679,14.663916636731148
680,27.679798589834412
681,27.983003827800328
682,61.15084811574815
683,59.98992168050463
684,65.34285755265357
685,65.84294001764978
686,141.22623361091874
687,142.371295560009
688,39.73926232028173
689,40.2255952189804
690,3.1865169974309544
691,2.9416537649937577
692,51.542833409546716
693,53.450332622504185
694,3.8839531774979332
695,3.3763906201275815
696,34.211200429995245
697,33.739272052831495
698,108.06902655642398
699,107.18585477315713
700,74.7617717154346
701,75.3767222651247
702,41.805412202199214
703,49.5304340490234
704,12.893721746446325
705,12.727611897158976
706,62.60752426554305
707,62.96442714768926
708,86.90230517983
709,86.95570903851812
710,64.12233955797156
711,64.75889277638879
712,70.85022904595498
713,71.67361633677928
714,50.73127861367837
715,50.89161571893964
716,41.75770821378974
717,41.95023918261337
718,15.578596186512941
719,16.019603485627005
720,42.72874986700857
721,42.873214508769685
722,9.67246911174981
723,9.956025059007217
724,91.82359151280794
725,91.61906294758639
726,85.19795695644544
727,84.75689958922236
728,61.99645523121698
